filename;optimal_result;best_possible;gap_percent;target_gap
Random(10)-24;74;62.40;15.67%;5%
Random(20)-7;136;100.83;25.86%;10%
Random(10)-21;74;70.30;5.00%;5%
Random(20)-14;130;88.25;32.12%;10%
Random(5)-1;49;49.00;0.00%;0%
Random(5)-20;51;51.00;0.00%;0%
Random(10)-10;80;65.69;17.88%;5%
Random(5)-8;49;49.00;0.00%;0%
Random(10)-2;77;64.77;15.88%;5%
Random(5)-14;40;40.00;0.00%;0%
Random(20)-10;131;88.41;32.51%;10%
Random(20)-17;129;100.19;22.33%;10%
Random(10)-18;75;64.95;13.40%;5%
Random(10)-5;74;61.84;16.44%;5%
Random(20)-19;132;100.23;24.07%;10%
Random(5)-5;47;47.00;0.00%;0%
Random(10)-23;78;67.37;13.63%;5%
Random(20)-18;130;102.10;21.46%;10%
Random(20)-4;130;101.02;22.29%;10%
Random(5)-11;44;44.00;0.00%;0%
Random(10)-12;72;67.14;6.75%;5%
Random(20)-0;130;101.00;22.31%;10%
Random(20)-22;128;99.91;21.95%;10%
Random(10)-13;77;66.51;13.62%;5%
Random(10)-0;78;70.59;9.50%;5%
Random(10)-3;81;66.30;18.14%;5%
Random(10)-8;70;64.31;8.13%;5%
Random(5)-21;50;50.00;0.00%;0%
Random(5)-15;49;49.00;0.00%;0%
Random(10)-19;79;62.69;20.64%;5%
Random(5)-0;48;48.00;0.00%;0%
Random(10)-11;77;64.58;16.14%;5%
Random(10)-6;70;59.43;15.11%;5%
Random(20)-2;129;88.82;31.14%;10%
Random(5)-10;43;43.00;0.00%;0%
Random(10)-22;79;68.43;13.38%;5%
Random(20)-16;133;100.76;24.24%;10%
Random(20)-24;131;100.00;23.66%;10%
Random(20)-12;135;103.00;23.70%;10%
Random(10)-1;73;62.44;14.47%;5%
Random(10)-20;76;66.72;12.22%;5%
Random(20)-23;128;101.71;20.54%;10%
Random(10)-17;76;65.20;14.21%;5%
Random(10)-16;78;60.32;22.66%;5%
Random(20)-15;128;98.03;23.41%;10%
Random(20)-20;131;102.15;22.03%;10%
Random(20)-8;126;101.46;19.48%;10%
Random(5)-17;50;50.00;0.00%;0%
Random(5)-13;52;52.00;0.00%;0%
Random(10)-7;69;63.74;7.62%;5%
Random(5)-2;49;49.00;0.00%;0%
Random(5)-23;53;53.00;0.00%;0%
Random(20)-21;124;88.09;28.96%;10%
Random(5)-24;51;51.00;0.00%;0%
Random(20)-11;129;88.15;31.67%;10%
Random(5)-19;45;45.00;0.00%;0%
Random(5)-3;49;49.00;0.00%;0%
Random(20)-1;128;103.22;19.36%;10%
Random(5)-4;54;54.00;0.00%;0%
Random(20)-6;130;101.33;22.05%;10%
Random(20)-3;127;88.41;30.39%;10%
Random(20)-5;135;100.82;25.32%;10%
Random(10)-14;75;68.04;9.27%;5%
Random(5)-16;48;48.00;0.00%;0%
Random(5)-22;46;46.00;0.00%;0%
Random(5)-9;48;48.00;0.00%;0%
Random(10)-9;73;61.74;15.43%;5%
Random(20)-13;128;99.11;22.57%;10%
Random(10)-4;82;70.71;13.76%;5%
Random(5)-12;51;51.00;0.00%;0%
Random(5)-7;50;50.00;0.00%;0%
Random(5)-6;47;47.00;0.00%;0%
Random(20)-9;131;100.00;23.66%;10%
Random(10)-15;79;68.11;13.79%;5%
Random(5)-18;52;52.00;0.00%;0%
