filename;optimal_result;best_possible;gap_percent;target_gap
Concentrated(20,5)-9;129;98.00;24.03%;10%
Concentrated(20,5)-7;125;98.05;21.56%;10%
Concentrated(10,3)-17;71;61.33;13.62%;5%
Concentrated(20,12)-24;131;97.14;25.85%;10%
Concentrated(20,5)-20;125;97.00;22.40%;10%
Concentrated(10,6)-1;63;57.00;9.52%;5%
Concentrated(5,2)-1;35;35.00;0.00%;0%
Concentrated(5,2)-15;37;37.00;0.00%;0%
Concentrated(20,5)-8;133;97.00;27.07%;10%
Concentrated(5,3)-9;33;33.00;0.00%;0%
Concentrated(10,6)-10;69;56.16;18.61%;5%
Concentrated(10,3)-3;71;63.30;10.84%;5%
Concentrated(10,3)-23;69;57.14;17.18%;5%
Concentrated(20,5)-2;133;96.66;27.32%;10%
Concentrated(10,3)-12;67;60.70;9.41%;5%
Concentrated(20,12)-23;131;92.00;29.77%;10%
Concentrated(20,5)-16;133;101.92;23.37%;10%
Concentrated(20,12)-9;139;98.52;29.13%;10%
Concentrated(5,2)-4;39;39.00;0.00%;0%
Concentrated(5,3)-23;39;39.00;0.00%;0%
Concentrated(10,3)-4;65;57.38;11.72%;5%
Concentrated(20,12)-10;127;86.97;31.52%;10%
Concentrated(5,3)-0;31;31.00;0.00%;0%
Concentrated(5,2)-2;37;37.00;0.00%;0%
Concentrated(10,3)-6;67;62.02;7.43%;5%
Concentrated(20,5)-13;130;98.62;24.14%;10%
Concentrated(5,3)-18;35;35.00;0.00%;0%
Concentrated(20,12)-19;127;87.69;30.95%;10%
Concentrated(5,2)-5;33;33.00;0.00%;0%
Concentrated(10,3)-14;67;63.00;5.97%;5%
Concentrated(20,12)-22;135;98.83;26.79%;10%
Concentrated(5,3)-3;35;35.00;0.00%;0%
Concentrated(10,3)-9;65;53.46;17.75%;5%
Concentrated(20,12)-17;135;95.24;29.45%;10%
Concentrated(5,2)-6;41;41.00;0.00%;0%
Concentrated(20,12)-14;133;95.33;28.32%;10%
Concentrated(20,12)-18;121;91.08;24.73%;10%
Concentrated(20,5)-0;128;96.02;24.98%;10%
Concentrated(20,12)-5;139;89.42;35.67%;10%
Concentrated(20,12)-11;127;92.02;27.54%;10%
Concentrated(5,2)-17;33;33.00;0.00%;0%
Concentrated(10,6)-22;59;56.05;5.00%;5%
Concentrated(10,6)-14;67;59.50;11.19%;5%
Concentrated(10,3)-15;71;66.47;6.38%;5%
Concentrated(10,6)-17;73;59.31;18.75%;5%
Concentrated(5,2)-22;41;41.00;0.00%;0%
Concentrated(20,5)-23;127;90.20;28.98%;10%
Concentrated(5,2)-19;39;39.00;0.00%;0%
